ID_PAPER,ID_AUTHOR,ORDER,NUM_AUTHOR
0,0,1,3
0,2,2,3
0,1,3,3
1,17,1,6
1,23,2,6
1,12,3,6
1,9,4,6
1,28,5,6
1,24,6,6
2,14,1,5
2,17,2,5
2,0,3,5
2,7,4,5
2,24,5,5
3,14,1,5
3,17,2,5
3,0,3,5
3,7,4,5
3,24,5,5
4,0,1,4
4,11,2,4
4,7,3,4
4,1,4,4
5,15,1,6
5,17,2,6
5,9,3,6
5,10,4,6
5,28,5,6
5,24,6,6
6,0,1,5
6,27,2,5
6,26,3,5
6,6,4,5
6,7,5,5
7,14,1,5
7,17,2,5
7,0,3,5
7,7,4,5
7,24,5,5
8,14,1,6
8,17,2,6
8,9,3,6
8,29,4,6
8,28,5,6
8,24,6,6
9,14,1,5
9,17,2,5
9,0,3,5
9,7,4,5
9,24,5,5
10,0,1,4
10,4,2,4
10,20,3,4
10,7,4,4
11,17,1,3
11,9,2,3
11,24,3,3
12,13,1,6
12,8,2,6
12,16,3,6
12,0,4,6
12,7,5,6
12,3,6,6
13,15,1,5
13,17,2,5
13,9,3,5
13,10,4,5
13,28,5,5
14,17,1,4
14,25,2,4
14,9,3,4
14,18,4,4
15,15,1,5
15,17,2,5
15,10,3,5
15,9,4,5
15,28,5,5
16,14,1,5
16,17,2,5
16,9,3,5
16,28,4,5
16,24,5,5
17,14,1,7
17,17,2,7
17,21,3,7
17,19,4,7
17,9,5,7
17,28,6,7
17,24,7,7
18,14,1,6
18,17,2,6
18,9,3,6
18,19,4,6
18,28,5,6
18,24,6,6
19,14,1,5
19,17,2,5
19,9,3,5
19,28,4,5
19,24,5,5
20,16,1,4
20,0,2,4
20,5,3,4
20,7,4,4
21,17,1,5
21,9,2,5
21,22,3,5
21,15,4,5
21,24,5,5
22,4,1,4
22,0,2,4
22,20,3,4
22,7,4,4
