ID_PAPER,ID_WORD,FREQUENCY
0,11,5
0,14,5
0,204,3
0,322,2
0,122,2
0,252,2
0,254,2
0,238,2
0,42,2
0,258,2
0,263,2
0,40,2
0,34,1
0,652,1
0,106,1
0,48,1
0,485,1
0,138,1
0,770,1
0,771,1
0,552,1
0,497,1
0,312,1
0,223,1
0,721,1
0,855,1
0,25,1
0,348,1
0,68,1
0,482,1
0,362,1
0,36,1
0,104,1
0,73,1
0,804,1
0,225,1
0,66,1
0,365,1
0,781,1
0,530,1
0,166,1
0,539,1
0,274,1
0,666,1
0,384,1
0,5,1
0,409,1
0,831,1
0,809,1
0,695,1
0,155,1
0,837,1
0,671,1
0,37,1
0,57,1
0,49,1
0,7,1
0,500,1
0,63,1
0,789,1
0,858,1
0,1,1
0,847,1
0,782,1
0,729,1
0,736,1
0,39,1
0,814,1
0,543,1
0,475,1
0,284,1
0,185,1
0,647,1
0,235,1
0,602,1
1,116,5
1,23,4
1,17,4
1,121,4
1,58,3
1,180,3
1,3,3
1,184,3
1,1,3
1,29,2
1,104,2
1,4,2
1,392,2
1,352,2
1,250,2
1,8,2
1,368,2
1,210,2
1,0,2
1,290,2
1,50,1
1,154,1
1,425,1
1,48,1
1,90,1
1,415,1
1,385,1
1,45,1
1,80,1
1,656,1
1,12,1
1,71,1
1,453,1
1,18,1
1,534,1
1,270,1
1,522,1
1,66,1
1,9,1
1,214,1
1,101,1
1,85,1
1,877,1
1,663,1
1,361,1
1,165,1
1,109,1
1,726,1
1,144,1
1,753,1
1,47,1
1,42,1
1,75,1
1,456,1
1,386,1
1,255,1
1,391,1
1,215,1
1,33,1
1,103,1
1,461,1
1,37,1
1,462,1
1,523,1
1,234,1
1,715,1
1,157,1
1,486,1
1,503,1
1,812,1
1,22,1
1,541,1
1,209,1
1,644,1
1,544,1
1,329,1
1,622,1
1,5,1
1,216,1
1,675,1
1,351,1
2,6,6
2,35,4
2,47,3
2,19,3
2,0,3
2,2,3
2,13,3
2,24,3
2,8,2
2,63,2
2,108,2
2,4,2
2,128,2
2,114,2
2,149,2
2,147,2
2,30,2
2,9,2
2,124,2
2,102,2
2,67,2
2,61,2
2,229,1
2,162,1
2,15,1
2,381,1
2,178,1
2,246,1
2,382,1
2,91,1
2,334,1
2,5,1
2,240,1
2,79,1
2,289,1
2,22,1
2,234,1
2,230,1
2,339,1
2,388,1
2,136,1
2,80,1
2,164,1
2,343,1
2,78,1
2,165,1
2,182,1
2,3,1
2,346,1
2,183,1
2,511,1
2,402,1
2,142,1
2,217,1
2,404,1
2,70,1
2,88,1
2,237,1
2,265,1
2,406,1
2,188,1
2,168,1
2,189,1
2,313,1
2,353,1
2,199,1
2,354,1
2,242,1
2,239,1
2,355,1
2,356,1
2,39,1
2,277,1
2,171,1
2,57,1
2,117,1
2,98,1
2,51,1
2,256,1
2,337,1
2,363,1
2,224,1
2,196,1
2,60,1
2,75,1
2,10,1
2,197,1
2,69,1
2,7,1
2,1,1
2,373,1
2,36,1
2,421,1
2,173,1
2,133,1
2,330,1
2,181,1
2,175,1
2,228,1
3,6,5
3,35,4
3,24,4
3,47,3
3,19,3
3,0,3
3,2,3
3,13,3
3,9,3
3,67,3
3,61,3
3,8,2
3,63,2
3,108,2
3,4,2
3,128,2
3,114,2
3,149,2
3,147,2
3,30,2
3,124,2
3,102,2
3,133,2
3,229,1
3,162,1
3,15,1
3,381,1
3,178,1
3,246,1
3,382,1
3,91,1
3,334,1
3,5,1
3,240,1
3,79,1
3,289,1
3,22,1
3,234,1
3,230,1
3,339,1
3,388,1
3,136,1
3,80,1
3,164,1
3,718,1
3,343,1
3,181,1
3,165,1
3,182,1
3,3,1
3,346,1
3,183,1
3,402,1
3,142,1
3,217,1
3,404,1
3,70,1
3,88,1
3,237,1
3,265,1
3,406,1
3,188,1
3,168,1
3,189,1
3,313,1
3,353,1
3,199,1
3,354,1
3,242,1
3,239,1
3,355,1
3,356,1
3,39,1
3,277,1
3,171,1
3,57,1
3,117,1
3,98,1
3,51,1
3,256,1
3,337,1
3,363,1
3,224,1
3,196,1
3,60,1
3,75,1
3,10,1
3,197,1
3,69,1
3,7,1
3,1,1
3,373,1
3,36,1
3,421,1
3,173,1
3,330,1
3,175,1
3,228,1
4,74,6
4,14,6
4,34,3
4,170,3
4,5,3
4,103,3
4,73,2
4,10,2
4,155,2
4,89,2
4,410,2
4,442,1
4,712,1
4,325,1
4,378,1
4,58,1
4,237,1
4,860,1
4,687,1
4,572,1
4,45,1
4,614,1
4,773,1
4,12,1
4,24,1
4,30,1
4,158,1
4,409,1
4,685,1
4,7,1
4,829,1
4,365,1
4,585,1
4,221,1
4,288,1
4,42,1
4,367,1
4,75,1
4,236,1
4,261,1
4,869,1
4,148,1
4,786,1
4,23,1
4,632,1
4,22,1
4,843,1
4,870,1
4,734,1
4,370,1
4,716,1
4,1,1
4,216,1
4,208,1
4,115,1
4,470,1
4,36,1
4,96,1
4,850,1
4,438,1
4,3,1
4,767,1
4,210,1
4,709,1
4,174,1
4,2,1
4,508,1
4,20,1
4,266,1
4,725,1
4,514,1
5,1,7
5,53,6
5,55,6
5,99,5
5,46,4
5,16,4
5,18,3
5,28,3
5,21,2
5,15,2
5,93,2
5,126,2
5,235,2
5,293,2
5,52,2
5,44,2
5,72,2
5,95,2
5,379,2
5,241,2
5,417,2
5,152,2
5,291,2
5,77,2
5,651,1
5,261,1
5,29,1
5,92,1
5,12,1
5,203,1
5,777,1
5,143,1
5,5,1
5,668,1
5,526,1
5,8,1
5,105,1
5,460,1
5,37,1
5,22,1
5,38,1
5,633,1
5,34,1
5,387,1
5,163,1
5,211,1
5,570,1
5,213,1
5,164,1
5,796,1
5,107,1
5,108,1
5,688,1
5,807,1
5,455,1
5,166,1
5,692,1
5,42,1
5,3,1
5,465,1
5,703,1
5,0,1
5,266,1
5,351,1
5,45,1
5,114,1
5,106,1
5,371,1
5,723,1
5,332,1
5,488,1
5,728,1
5,324,1
5,496,1
5,839,1
5,871,1
5,191,1
5,30,1
5,436,1
5,493,1
5,621,1
5,20,1
5,117,1
5,81,1
5,51,1
5,627,1
5,749,1
5,750,1
5,383,1
5,788,1
5,75,1
5,533,1
5,255,1
5,70,1
5,638,1
5,7,1
5,132,1
5,538,1
6,38,5
6,110,4
6,6,4
6,112,4
6,187,3
6,0,3
6,13,2
6,86,2
6,233,2
6,3,2
6,10,2
6,148,2
6,412,2
6,208,2
6,88,2
6,2,2
6,338,2
6,189,1
6,823,1
6,743,1
6,680,1
6,138,1
6,92,1
6,826,1
6,80,1
6,12,1
6,269,1
6,819,1
6,859,1
6,158,1
6,426,1
6,91,1
6,64,1
6,429,1
6,4,1
6,593,1
6,580,1
6,238,1
6,566,1
6,582,1
6,865,1
6,159,1
6,383,1
6,686,1
6,727,1
6,399,1
6,681,1
6,67,1
6,347,1
6,502,1
6,636,1
